date,year,quarter,month,Real_GDP_SA,Uncertainty_Index,Household_credit,Residential_prices,Unemployment_Rate,Unemployment_Claims,Automobile_Sales,Manufacturing_Working_hours_index,Industrial_Capacity_Utilization_Index,Industrial_Production_Index,Steel_Production,Petroleum_Product_Sales,Energy_Generation,Nominal_Revenue_Tourism_Index,Retail_Trade_Index,Tendancy_manufact_exports,Tendancy_manufact_production,Tendancy_employment,Foreign_Trade_Index,Average_Real_Income,3_months_bond_yield,Apple_Mobility_Index,Fuel_Price_Ethanol,Agriculture_Price:Soybean,Dollar_Rate,Ibov,Savings_Deposits,Foreign_Trade_Balance
2004-12-18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2255751297598624,1062.5542193416109,6476531429.421176,295.2529994783516
2004-12-25,1,1,1,126.28341633,0.1918404,0.2027644593197416,3.7192,NaN,463026.316754891,219710.0,102.3,82.6,97.3300302780072,2788.0,7785470.67560853,33590.16775,NaN,1.6064467406156009,1.7,39.7,24.7,37.52217005738133,NaN,18.1145,NaN,NaN,NaN,0.2214065453973991,1068.8903072220803,6544594624.149465,376.2389149713093
2005-01-01,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2124376702875876,1081.8323296709673,6574008920.056398,430.27206578215134
2005-01-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2141878408342071,1029.5832659634025,6589851641.317009,369.3952063887229
2005-01-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2147802306834712,1016.0229230227466,6608795458.27379,355.9995148343086
2005-01-22,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2152169792318564,993.231368006906,6593359200.536043,239.17014613778707
2005-01-29,0,0,1,NaN,NaN,NaN,NaN,NaN,440122.786307621,142649.0,98.9,82.6,97.6603358106248,2588.0,6709517.03294248,34199.48606,NaN,1.5003129105656017,-0.8,19.4,17.2,32.24947807933194,NaN,18.6677774193548,NaN,NaN,NaN,0.2120438025057712,996.8874095785106,6584038006.281353,271.3987473903967
2005-02-05,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2074825594840913,1018.539521497222,6575399295.602232,300.3007825554798
2005-02-12,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2073867394995364,1087.869385681154,6565056851.894618,288.1834882095842
2005-02-19,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2046206653597642,1094.7558907111772,6552328085.116577,378.591595449633
