,Brazil
1963-06-08,30.628666666666668
1963-06-15,30.647333333333332
1963-06-22,30.666
1963-06-29,30.68466666666667
1963-07-06,30.69967741935484
1963-07-13,30.713225806451614
1963-07-20,30.726774193548387
1963-07-27,30.740322580645163
1963-08-03,30.74806451612903
1963-08-10,30.741290322580646
1963-08-17,30.734516129032258
1963-08-24,30.72774193548387
1963-08-31,30.720967741935482
1963-09-07,30.726
1963-09-14,30.733
1963-09-21,30.74
1963-09-28,30.747
1963-10-05,30.753870967741936
1963-10-12,30.760645161290324
1963-10-19,30.76741935483871
1963-10-26,30.774193548387096
1963-11-02,30.783333333333335
1963-11-09,30.80666666666667
1963-11-16,30.83
1963-11-23,30.85333333333333
1963-11-30,30.876666666666665
1963-12-07,30.891612903225806
1963-12-14,30.90516129032258
1963-12-21,30.918709677419354
1963-12-28,30.93225806451613
1964-01-04,30.93709677419355
1964-01-11,30.93032258064516
1964-01-18,30.923548387096776
1964-01-25,30.916774193548388
1964-02-01,30.91
1964-02-08,30.917241379310344
1964-02-15,30.92448275862069
1964-02-22,30.931724137931035
1964-02-29,30.93896551724138
1964-03-07,30.941935483870967
1964-03-14,30.944193548387098
1964-03-21,30.946451612903225
1964-03-28,30.948709677419355
1964-04-04,30.953
1964-04-11,30.96
1964-04-18,30.967
1964-04-25,30.974
1964-05-02,30.980967741935483
1964-05-09,30.98774193548387
1964-05-16,30.99451612903226
1964-05-23,31.001290322580648
1964-05-30,31.008064516129032
1964-06-06,31.011666666666667
1964-06-13,31.014
1964-06-20,31.016333333333332
1964-06-27,31.018666666666668
1964-07-04,31.022903225806452
1964-07-11,31.02967741935484
1964-07-18,31.036451612903225
1964-07-25,31.043225806451613
1964-08-01,31.05
1964-08-08,31.05677419354839
1964-08-15,31.063548387096773
1964-08-22,31.07032258064516
1964-08-29,31.077096774193546
1964-09-05,31.08533333333333
1964-09-12,31.094666666666665
1964-09-19,31.104
1964-09-26,31.113333333333333
1964-10-03,31.125806451612902
1964-10-10,31.146129032258067
1964-10-17,31.166451612903227
1964-10-24,31.186774193548388
1964-10-31,31.20709677419355
1964-11-07,31.218
1964-11-14,31.227333333333334
1964-11-21,31.236666666666668
1964-11-28,31.246
1964-12-05,31.253870967741936
1964-12-12,31.260645161290324
1964-12-19,31.26741935483871
1964-12-26,31.274193548387096
1965-01-02,31.28
1965-01-09,31.28
1965-01-16,31.28
1965-01-23,31.28
1965-01-30,31.28
1965-02-06,31.285357142857144
1965-02-13,31.292857142857144
1965-02-20,31.30035714285714
1965-02-27,31.30785714285714
1965-03-06,31.321290322580644
1965-03-13,31.337096774193547
1965-03-20,31.35290322580645
1965-03-27,31.368709677419353
1965-04-03,31.386666666666667
1965-04-10,31.41
1965-04-17,31.433333333333334
1965-04-24,31.456666666666667
1965-05-01,31.48
1965-05-08,31.509354838709676
1965-05-15,31.538709677419355
1965-05-22,31.56806451612903
1965-05-29,31.59741935483871
1965-06-05,31.605999999999998
1965-06-12,31.599
1965-06-19,31.592
1965-06-26,31.584999999999997
1965-07-03,31.578064516129032
1965-07-10,31.571290322580644
1965-07-17,31.564516129032256
1965-07-24,31.55774193548387
1965-07-31,31.550967741935484
1965-08-07,31.563548387096773
1965-08-14,31.57935483870968
1965-08-21,31.595161290322583
1965-08-28,31.610967741935486
1965-09-04,31.623
1965-09-11,31.63
1965-09-18,31.637
1965-09-25,31.644
1965-10-02,31.653225806451612
1965-10-09,31.675806451612903
1965-10-16,31.698387096774194
1965-10-23,31.720967741935482
1965-10-30,31.743548387096773
1965-11-06,31.766666666666666
1965-11-13,31.79
1965-11-20,31.813333333333333
1965-11-27,31.83666666666667
1965-12-04,31.852903225806454
1965-12-11,31.85967741935484
1965-12-18,31.866451612903226
1965-12-25,31.87322580645161
1966-01-01,31.88
